qms-financial-data|kahawai-collective/kahawai|master|qms-financial-data
MPI-CPUE-Project-Plan|kahawai-collective/MPI-CPUE-DASHBOARD|main|project_plan
P3.8-hoki_trial_FAR|kahawai-collective/P3.8-PSH-netAvsB|master|HOK_NI/FAR
BCO5-MPE-CPUE-FAR|kahawai-collective/BCO5_CPUE|main|FAR
BCO5-MPE-CPUE-ML|kahawai-collective/BCO5_CPUE|main|CPUE-ML
STN2025-01-FAR|kahawai-collective/STN2025-01|main|FAR
STN2025-01-char-data|kahawai-collective/STN2025-01|main|characterisation
FLA2024-01-FAR|kahawai-collective/FLA2024-01|main|FAR
SQU-2020-01-FAR|kahawai-collective/SQU-2020-01|master|FAR
SQU-2020-01-observer|kahawai-collective/SQU-2020-01|master|observer
BCO5-MPE-CPUE-char|kahawai-collective/BCO5_CPUE|main|characterisation
kahawai-database-schema|kahawai-collective/FNZ_Analytics_Low_Med_Knowledge|main|schema
PAU-CPUE-COMPARE|kahawai-collective/PAU-CPUE|main|reporting/compare
database|kahawai-collective/scs-reports|master|database
FLA2024-01-char-data|kahawai-collective/FLA2024-01|main|characterisation
JMA2024-01-obs-data|kahawai-collective/JMA2024-01|main|observer
JMA2024-01-char-data|kahawai-collective/JMA2024-01|main|characterisation
mpi-latex-templates-local|kahawai-collective/mpi-latex-templates|master|.
JMA2024-01-FAR|kahawai-collective/JMA2024-01|main|FAR
TRE2025-01|kahawai-collective/TRE2025-01|main|.
JMN-MPE-FAR|kahawai-collective/kahawai-mpe-sims|main|FAR
PAU-SIMULATOR-COMPILE|kahawai-collective/PAU-SIMULATOR|main|compare
PAU-SIMULATOR|kahawai-collective/PAU-SIMULATOR|main|.
FLA2024-01-spp-data|kahawai-collective/FLA2024-01|main|species_characterisation
JMA2024-01-spp-model-diags|kahawai-collective/JMA2024-01|main|species_composition/models/beta-bin/checks
HSFG_bioregions|kahawai-collective/HSFG_bioregions|main|.
TAR2024-01|kahawai-collective/kahawai-reports-adam|master|tarakihi
MPI-CPUE-DASHBOARD|kahawai-collective/MPI-CPUE-DASHBOARD|main|dashboard
FINZ-ELE2026|kahawai-collective/ELE5-ELE7-FINZ|main|.
PAU-CATCH-PREP-SM|kahawai-collective/PAU-CATCH|main|.
PELCO-app-test-report|kahawai-collective/PELCO-app-data|main|reports/test-report
pisces-latex-templates|kahawai-collective/pisces-latex-templates|master|.
Seafish-crawfish-surveys|kahawai-collective/Seafish_crawfish|main|survey_data
P2.1.3-GUR2-FAR|kahawai-collective/P2.1.3-GUR2|master|FAR
pelagOS-distances|kahawai-collective/pelagOS_processing|main|distance_summaries
CA5.25_data_plotter|kahawai-collective/CA5.25-Sink_rate|master|data_plotter
CA5.25_data_loader|kahawai-collective/CA5.25-Sink_rate|master|data_loader
JMA2024-01-CPUE-ML|kahawai-collective/JMA2024-01|main|CPUE-ML
WDG-2025|kahawai-collective/william-gibson-test|main|.
SCI-char-data|kahawai-collective/SCI-dashboard|main|characterisation
SCI-char-FAR|kahawai-collective/SCI-dashboard|main|FAR
PELCO-pelagics-schema|kahawai-collective/PELCO-ad-hoc-analyses|main|pelagics-db-schema
PELCO-sampling-FAR|kahawai-collective/PELCO-sampling|main|FAR
PELCO-JMA-FAR|kahawai-collective/PELCO-JMA-CHAR-CPUE|master|FAR_report
PELCO-JMA-explore|kahawai-collective/PELCO-JMA-CHAR-CPUE|master|exploration
